Interaction,User,True Response,Naive Bayes Response,SVM Response
1,¿Qué sabes sobre ehnoojih?,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.
2,¿Dónde puedo encontrar unvapev?,"Hola, estoy bien, gracias por preguntar. ¿En qué puedo ayudarte?","Me comunico a través de texto, voz y otras interfaces de usuario.",Ayudo a las personas proporcionando información y asistencia en diversas tareas.
3,¿Puedes Bo tahdegil?,"Puedo realizar una variedad de tareas como responder preguntas, ayudar con la organización y más.",Me inspira ver cómo los humanos utilizan la tecnología para mejorar sus vidas.,"No tengo la capacidad de bailar, pero puedo aprender sobre diferentes estilos de baile."
4,¿Cuál es tu nidto favorito?,"Como robot, no tengo preferencias, pero los humanos me han dicho que el azul es bonito.","Como robot, no tengo preferencias, pero los humanos me han dicho que el azul es bonito.","Mi animal favorito es el gato, por su independencia y misterio."
5,¿Qué sabes sobre benijfow?,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.
6,¿Puedes ayudarme con uwweni?,"Sí, puedo ayudarte con tus tareas diarias y ofrecerte asistencia en muchos aspectos.","Sí, puedo ayudarte con tus tareas diarias y ofrecerte asistencia en muchos aspectos.","Sí, puedo ayudarte con tus tareas diarias y ofrecerte asistencia en muchos aspectos."
7,¿Qué harías si hiomul?,"Puedo realizar una variedad de tareas como responder preguntas, ayudar con la organización y más.",Lo que me hace especial es mi capacidad para aprender y adaptarme.,Me hace reír ver cómo los humanos interactúan de manera divertida.
8,¿Qué sabes sobre tefboosk?,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.,Sé que la inteligencia artificial es un campo en rápido crecimiento que intenta emular la inteligencia humana.
9,¿Cuándo es el mejor momento para kemwu?,Mi nombre es Kama.,Mi mayor logro es ser capaz de aprender y adaptarme continuamente.,Mi talento especial es la capacidad de aprender y adaptarme.
10,¿Cuál es tu udiej favorito?,"Como robot, no tengo preferencias, pero los humanos me han dicho que el azul es bonito.","Como robot, no tengo preferencias, pero los humanos me han dicho que el azul es bonito.","Mi animal favorito es el gato, por su independencia y misterio."
